Name	Year	Female	Male
Jordon	1973		17
Joy	1973	1697	14
Jude	1973	7	121
June	1973	304	7
Justice	1973		19
Justine	1973	270	17
Kai	1973	44	53
Kameron	1973	10	15
Karson	1973		6
Kasey	1973	241	84
Kay	1973	273	5
Kaye	1973	51	
Keegan	1973		7
Kelley	1973	1201	98
Kelly	1973	10516	1704
Kelsey	1973	77	73
Kendal	1973	24	47
Kendall	1973	111	352
Kennedy	1973		17
Kenya	1973	894	145
Kerry	1973	1875	681
Kieran	1973	5	38
Kiley	1973	25	54
Kim	1973	2195	183
Kimberly	1973	23531	96
Kirby	1973	9	151
Kolby	1973		15
Kris	1973	216	356
Kristian	1973	55	232
Kyle	1973	80	2374
Kyrie	1973	5	
Lacy	1973	66	39
Landry	1973		13
Lane	1973	12	135
Lashawn	1973	420	79
Laurel	1973	418	
Lauren	1973	1095	31
Laverne	1973	101	25
Layne	1973	12	55
Lee	1973	658	2110
Leigh	1973	1078	48
Leighton	1973		40
Lennon	1973		13
Lennox	1973		8
Lesley	1973	612	75
Leslie	1973	3955	792
Lindsay	1973	115	22
Lindsey	1973	101	70
Lindy	1973	118	12
Logan	1973		69
Lois	1973	310	8
London	1973	16	20
Lonnie	1973	56	984
Loren	1973	71	393
Lou	1973	91	28
Louie	1973	7	206
Lupe	1973	108	45
Lynn	1973	1934	268
Mackenzie	1973	7	
Madison	1973		22
Marion	1973	267	297
Marley	1973	12	
Marlo	1973	251	78
Marty	1973	84	592
Mckinley	1973		33
Meredith	1973	1522	21
Merle	1973	12	93
Messiah	1973		5
Micah	1973	54	528
Michele	1973	5997	49
Mickey	1973	38	318
Milan	1973	7	32
Monroe	1973		62
Morgan	1973	90	256
Nakia	1973	7	
Nikita	1973	147	14
Noel	1973	175	484
Nova	1973	48	
Oakley	1973		7
Odell	1973	7	85
Ollie	1973	33	55
Ora	1973	47	8
Paris	1973	45	53
Parker	1973		33
Pat	1973	30	87
Patsy	1973	204	10
Paxton	1973		40
Payton	1973		18
Perry	1973	7	506
Peyton	1973	13	34
Presley	1973		13
Quincy	1973	14	322
Quinn	1973		136
Raven	1973	11	13
Ray	1973	21	1046
Reagan	1973	52	32
Reece	1973		31
Reese	1973		36
Regan	1973	109	43
Remy	1973		5
Rene	1973	406	683
Rickie	1973	12	182
Riley	1973	8	90
Robbie	1973	151	492
Robbin	1973	126	23
Robin	1973	4807	399
Ronnie	1973	77	1894
Rory	1973	24	132
Rowan	1973		7
Royce	1973	18	164
Rylan	1973		10
Sage	1973	21	27
Sammie	1973	30	119
Sandy	1973	874	88
Santana	1973	12	36
Sasha	1973	271	16
Shannon	1973	9803	2635
Shaun	1973	53	748
Shawn	1973	1285	11443
Shea	1973	127	92
Shelby	1973	676	171
Shelly	1973	2913	37
Shiloh	1973	50	33
Shirley	1973	1158	7
Sidney	1973	25	382
Skye	1973	41	27
Skylar	1973		9
Skyler	1973		8
Spencer	1973	6	591
Stacey	1973	6250	567
Stacy	1973	7340	915
Sterling	1973	7	193
Stevie	1973	10	190
Sullivan	1973		6
Sydney	1973	64	31
Tate	1973		64
Tatum	1973	25	9
Taylor	1973	27	138
Teddy	1973		269
Tegan	1973	9	
Terrell	1973	38	364
Terry	1973	638	4378
Toby	1973	98	1006
Tommie	1973	83	204
Tommy	1973	41	1732
Tracey	1973	2979	420
Tracy	1973	9910	2042
Trinity	1973	98	56
Tristan	1973	22	72
Tristen	1973	12	
Tristin	1973	12	
Unknown	1973	23	20
Van	1973	7	175
Vernon	1973	10	791
Whitney	1973	294	64
Willie	1973	118	2393
Zion	1973		5
Addison	1974		22
Adrian	1974	194	1819
Adriel	1974		12
Aidan	1974		13
Alexis	1974	601	180
Ali	1974	97	158
Allie	1974	30	7
Allison	1974	2959	26
Alva	1974	27	27
Amani	1974	14	10
Amari	1974		6
Andrea	1974	7481	156
Angel	1974	1451	1110
Antonia	1974	309	108
Ari	1974	7	128
Arian	1974	11	12
Ariel	1974	36	153
Asa	1974	12	69
Ashley	1974	1626	408
Ashton	1974		32
Aspen	1974	6	
Aubrey	1974	185	174
August	1974	31	109
Avery	1974	27	179
Baby	1974	17	20
Bailey	1974		16
Bennie	1974	6	245
Bentley	1974		18
Beverly	1974	1206	11
Billie	1974	1132	135
Billy	1974	72	3365
Blair	1974	33	143
Blakely	1974		10
Bobbie	1974	1073	88
Bobby	1974	117	2790
Brandy	1974	3829	99
Brennan	1974	7	90
Brook	1974	163	95
Brooke	1974	964	40
Brooks	1974	13	140
Cadence	1974	9	
Camden	1974		13
Cameron	1974	91	652
Campbell	1974		5
Camryn	1974	5	
Carey	1974	658	298
Carmen	1974	1750	91
Carol	1974	2041	22
Carroll	1974	19	98
Carson	1974	9	103
Carter	1974	14	142
Cary	1974	177	306
Casey	1974	822	1729
Cassidy	1974	36	42
Cecil	1974	12	419
Chandler	1974	8	45
Channing	1974	7	46
Charley	1974		72
Charlie	1974	19	554
Cheyenne	1974	86	53
Chris	1974	204	2278
Christen	1974	260	41
Christian	1974	258	2489
Clare	1974	104	
Cleo	1974	40	24
Clyde	1974	6	418
Cody	1974	43	797
Colby	1974	40	330
Connie	1974	1635	16
Corey	1974	216	3381
Cortney	1974	171	43
Cory	1974	176	2330
Coty	1974	7	14
Courtney	1974	2335	371
Cristian	1974		54
Cruz	1974	26	86
Dakota	1974	8	8
Dale	1974	70	1690
Dallas	1974	36	291
Dana	1974	5160	814
Darby	1974	71	73
Darcy	1974	516	57
Darian	1974	9	168
Darien	1974	9	36
Darnell	1974	29	428
Daryl	1974	20	953
Dean	1974	15	1224
Dee	1974	136	37
Demetrius	1974	75	680
Deshawn	1974	56	158
Devan	1974	6	28
Deven	1974	9	24
Devin	1974	23	594
Devon	1974	93	352
Devyn	1974	6	
Diamond	1974	19	12
Dion	1974	32	396
Dominique	1974	212	85
Dominque	1974	20	11
Domonique	1974	19	
Donnie	1974	26	761
Dorian	1974	110	229
Drew	1974	7	378
Dusty	1974	134	165
Eddie	1974	23	1457
Eden	1974	69	10
Elisha	1974	184	48
Elliot	1974		212
Elliott	1974		218
Ellis	1974		172
Emerson	1974		56
Emery	1974	13	59
Emory	1974		70
Erin	1974	5871	321
Fay	1974	47	
Finley	1974		5
Francis	1974	115	887
Frankie	1974	128	460
Freddie	1974	13	526
Gail	1974	630	25
Gale	1974	65	48
Gayle	1974	263	9
Gene	1974	17	570
Genesis	1974	25	10
Gerry	1974	21	120
Gianni	1974		31
Grayson	1974		36
Guadalupe	1974	488	310
Hadley	1974	18	5
Harley	1974		169
Harper	1974	9	5
Haven	1974	7	19
Hayden	1974	10	36
Hilary	1974	426	13
Hunter	1974		92
Imani	1974	32	
Ira	1974	20	276
Ivy	1974	264	17
Jackie	1974	913	593
Jade	1974	93	96
Jaden	1974		9
Jaelyn	1974	5	
Jaime	1974	260	1093
Jaimie	1974	50	20
Jamey	1974	65	393
Jamie	1974	3022	4090
Jamison	1974	6	347
Jan	1974	324	102
Jayce	1974	9	10
Jayme	1974	157	102
Jean	1974	960	229
Jensen	1974		6
Jerry	1974	61	4661
Jessie	1974	358	749
Jewel	1974	102	24
Jewell	1974	52	16
Jimmie	1974	45	581
Jimmy	1974	26	2564
Joan	1974	580	17
Jodie	1974	1027	55
Jody	1974	1778	1125
Joey	1974	231	855
Johnie	1974	12	56
Johnnie	1974	131	564
Jordan	1974	40	370
Jordon	1974		18
Joy	1974	2755	24
Jude	1974	14	129
June	1974	314	16
Justice	1974		28
Justine	1974	252	16
Kai	1974	43	50
Kameron	1974	34	18
Kamryn	1974	7	
Karson	1974		6
Kasey	1974	286	95
Kay	1974	239	9
Kaya	1974	9	
Kaye	1974	38	
Keegan	1974		24
Kelley	1974	1208	116
Kelly	1974	10847	1760
Kelsey	1974	89	73
Kendal	1974	26	41
Kendall	1974	98	344
Kennedy	1974		21
Kenya	1974	813	131
Kerry	1974	1730	709
Kieran	1974	15	35
Kiley	1974	37	56
Kim	1974	1936	161
Kimberly	1974	22422	95
Kirby	1974	7	146
Kolby	1974		20
Kris	1974	167	417
Kristian	1974	59	229
Kyle	1974	94	2600
Kyrie	1974	10	
Lacy	1974	66	47
Landry	1974		14
Lane	1974	12	155
Lashawn	1974	385	95
Laurel	1974	343	10
Lauren	1974	1392	30
Laverne	1974	86	30
Layne	1974	17	39
Lee	1974	608	2115
Leigh	1974	1225	37
Leighton	1974		41
Lennon	1974		12
Lesley	1974	782	59
Leslie	1974	4462	691
Lindsay	1974	213	36
Lindsey	1974	233	48
Lindy	1974	129	8
Logan	1974	5	72
Lois	1974	285	5
London	1974	15	14
Lonnie	1974	37	922
Loren	1974	96	357
Lou	1974	63	19
Louie	1974	7	178
Lupe	1974	80	40
Lynn	1974	1646	225
Mackenzie	1974	6	7
Madison	1974		25
Marion	1974	233	266
Marley	1974	15	
Marlo	1974	207	69
Marty	1974	75	617
Mckenzie	1974		5
Mckinley	1974		25
Meredith	1974	1518	21
Merle	1974	9	78
Messiah	1974		8
Micah	1974	81	694
Michele	1974	5586	68
Mickey	1974	48	334
Milan	1974		46
Monroe	1974		53
Montana	1974		5
Morgan	1974	97	276
Nakia	1974	1135	611
Nikita	1974	170	18
Noel	1974	166	508
Nova	1974	53	6
Oakley	1974		7
Odell	1974		62
Ollie	1974	24	49
Ora	1974	35	12
Paris	1974	51	75
Parker	1974		28
Pat	1974	28	53
Patsy	1974	186	9
Paxton	1974		35
Payton	1974	5	13
Perry	1974	15	528
Peyton	1974	19	51
Presley	1974		8
Quincy	1974	18	418
Quinn	1974	12	162
Raven	1974	15	12
Ray	1974	13	957
Reagan	1974	70	35
Reece	1974		17
Reese	1974		55
Regan	1974	189	37
Reilly	1974		5
Remy	1974		8
Rene	1974	343	726
Rickie	1974	11	136
Riley	1974	8	85
River	1974		5
Robbie	1974	154	415
Robbin	1974	118	12
Robin	1974	4524	424
Ronnie	1974	65	1787
Rory	1974	27	166
Rowan	1974		7
Royce	1974	9	160
Rylan	1974		7
Sage	1974	39	24
Sammie	1974	30	129
Sandy	1974	814	103
Santana	1974	11	33
Sasha	1974	248	24
Semaj	1974	5	12
Shannon	1974	10608	2507
Shaun	1974	55	801
Shawn	1974	1271	11446
Shea	1974	155	102
Shelby	1974	800	184
Shelly	1974	2797	30
Shiloh	1974	54	34
Shirley	1974	1007	12
Sidney	1974	29	365
Skye	1974	73	21
Skylar	1974	6	8
Skyler	1974		21
Spencer	1974	7	563
Stacey	1974	5803	535
Stacy	1974	6741	828
Sterling	1974	14	195
Stevie	1974		182
Sullivan	1974		8
Sydney	1974	50	36
Tate	1974		80
Tatum	1974	83	14
Taylor	1974	41	182
Teddy	1974	5	271
Tegan	1974	5	
Terrell	1974	40	340
Terry	1974	518	4025
Toby	1974	117	1081
Tommie	1974	75	227
Tommy	1974	31	1579
Tracey	1974	2761	300
Tracy	1974	9290	1493
Trinity	1974	125	83
Tristan	1974	33	95
Tristen	1974	9	
Tristin	1974	8	
Unknown	1974	8	20
Van	1974		166
Vernon	1974	7	752
Whitney	1974	368	73
Willie	1974	106	2220
Zion	1974		12
Addison	1975		28
Adrian	1975	212	1954
Adriel	1975		21
Aidan	1975		22
Aiden	1975		6
Alexis	1975	678	217
Ali	1975	66	160
Allie	1975	31	6
Allison	1975	3353	20
Alva	1975	31	26
Amani	1975	7	7
Amari	1975		5
Andrea	1975	8041	177
Angel	1975	1598	1092
Antonia	1975	255	97
Ari	1975	12	105
Arian	1975	11	16
Ariel	1975	60	176
Asa	1975	10	61
Ashley	1975	1988	419
Ashton	1975		31
Aspen	1975	18	
Aubrey	1975	229	199
August	1975	24	104
Avery	1975	29	218
Baby	1975	17	36
Bailey	1975	5	14
Bennie	1975	17	261
Bentley	1975		11
Beverly	1975	1010	9
Billie	1975	1010	100
Billy	1975	76	3113
Blair	1975	33	151
Blakely	1975	10	10
Bobbie	1975	1043	99
Bobby	1975	104	2772
Brandy	1975	4947	103
Brennan	1975	11	102
Brook	1975	173	96
Brooke	1975	1180	49
Brooks	1975	19	114
Cadence	1975	6	
Camden	1975	5	7
Cameron	1975	91	1028
Campbell	1975		7
Carey	1975	756	301
Carmen	1975	1776	114
Carol	1975	1786	14
Carroll	1975	15	93
Carson	1975	20	122
Carter	1975	10	162
Cary	1975	204	359
Casey	1975	856	1959
Cassidy	1975	54	32
Cecil	1975	5	349
Chandler	1975		66
Channing	1975	12	39
Charley	1975	9	66
Charlie	1975	25	565
Cheyenne	1975	87	63
Chris	1975	201	1963
Christen	1975	220	44
Christian	1975	197	2462
Clare	1975	110	7
Cleo	1975	28	44
Clyde	1975		399
Cody	1975	53	901
Colby	1975	42	351
Connie	1975	1407	20
Corey	1975	267	3883
Cortney	1975	191	61
Cory	1975	222	2569
Coty	1975	11	14
Courtney	1975	2773	409
Cristian	1975		54
Cruz	1975	32	71
Dakota	1975	12	14
Dale	1975	61	1530
Dallas	1975	35	344
Dana	1975	4619	858
Darby	1975	43	50
Darcy	1975	473	45
Darian	1975	13	143
Darien	1975		47
Darnell	1975	34	456
Daryl	1975	25	841
Dean	1975	16	1026
Dee	1975	122	32
Demetrius	1975	82	636
Deshawn	1975	48	163
Devan	1975	6	23
Deven	1975	7	27
Devin	1975	16	562
Devon	1975	109	314
Diamond	1975	18	23
Dion	1975	43	454
Dominique	1975	193	90
Dominque	1975	17	6
Domonique	1975	13	7
Donnie	1975	26	738
Dorian	1975	69	222
Drew	1975	6	377
Dusty	1975	206	148
Eddie	1975	23	1390
Eden	1975	63	14
Elisha	1975	230	69
Elliot	1975		213
Elliott	1975		214
Ellis	1975		137
Emerson	1975		66
Emery	1975	6	76
Emory	1975		58
Erin	1975	6895	320
Fay	1975	50	
Finley	1975		7
Francis	1975	136	958
Frankie	1975	109	440
Freddie	1975	12	549
Gail	1975	561	26
Gale	1975	56	31
Gayle	1975	184	9
Gene	1975	17	555
Genesis	1975	35	7
Gerry	1975	15	114
Gianni	1975		25
Grayson	1975		45
Guadalupe	1975	566	331
Hadley	1975	22	11
Harley	1975	8	141
Harper	1975	7	9
Haven	1975	8	13
Hayden	1975	15	41
Hilary	1975	452	9
Hunter	1975		107
Imani	1975	25	8
Ira	1975	16	321
Ivy	1975	288	15
Jackie	1975	887	587
Jade	1975	146	106
Jaelyn	1975	9	
Jaime	1975	914	1272
Jaimie	1975	99	20
Jamey	1975	66	404
Jamie	1975	4234	4573
Jamison	1975	13	275
Jan	1975	261	96
Jayce	1975		8
Jayme	1975	211	108
Jean	1975	884	193
Jensen	1975		12
Jerry	1975	74	4315
Jessie	1975	392	772
Jewel	1975	86	15
Jewell	1975	31	17
Jimmie	1975	63	581
Jimmy	1975	22	2359
Joan	1975	550	10
Jodie	1975	891	37
Jody	1975	1685	939
Joey	1975	224	840
Johnie	1975	10	36
Johnnie	1975	107	525
Jordan	1975	68	398
Jordon	1975		21
Joy	1975	2307	10
Jude	1975	9	107
June	1975	301	13
Justice	1975	10	28
Justine	1975	240	12
Kai	1975	40	58
Kameron	1975	27	37
Karson	1975		5
Kasey	1975	309	131
Kay	1975	206	
Kaya	1975	12	5
Kaye	1975	39	
Keegan	1975		25
Kellen	1975	7	5
Kelley	1975	1168	101
Kelly	1975	11735	1642
Kelsey	1975	105	97
Kendal	1975	16	40
Kendall	1975	69	298
Kennedy	1975	5	21
Kenya	1975	863	129
Kerry	1975	1677	646
Kieran	1975		42
Kiley	1975	31	60
Kim	1975	1481	164
Kimberly	1975	20263	82
Kirby	1975	7	145
Kolby	1975		18
Kris	1975	141	323
Kristian	1975	51	274
Kyle	1975	89	2838
Kyrie	1975	5	
Lacy	1975	210	31
Landry	1975		9
Lane	1975	24	146
Lashawn	1975	332	101
Laurel	1975	313	
Lauren	1975	1849	32
Laverne	1975	79	18
Layne	1975	13	54
Lee	1975	585	1861
Leigh	1975	1065	57
Leighton	1975		43
Lennon	1975		11
Lennox	1975		6
Lesley	1975	712	56
Leslie	1975	4106	681
Lindsay	1975	516	22
Lindsey	1975	361	47
Lindy	1975	111	7
Logan	1975	8	83
Lois	1975	222	
London	1975	9	19
Lonnie	1975	41	873
Loren	1975	93	341
Lou	1975	50	21
Louie	1975	5	159
Lupe	1975	106	52
Lynn	1975	1424	193
Mackenzie	1975	14	14
Madison	1975	5	25
Marion	1975	233	245
Marley	1975	12	6
Marlo	1975	191	52
Marty	1975	58	572
Mckenzie	1975	6	11
Mckinley	1975		45
Meredith	1975	1428	33
Merle	1975	8	73
Messiah	1975		6
Micah	1975	80	791
Michele	1975	5036	60
Mickey	1975	35	323
Milan	1975		39
Monroe	1975		44
Montana	1975	9	9
Morgan	1975	114	283
Nakia	1975	972	514
Nikita	1975	165	13
Noel	1975	172	502
Nova	1975	57	
Oakley	1975		9
Odell	1975		61
Ollie	1975	26	56
Ora	1975	48	11
Paris	1975	34	79
Parker	1975		43
Pat	1975	17	61
Patsy	1975	142	14
Paxton	1975		21
Payton	1975	5	17
Perry	1975	13	489
Peyton	1975	19	45
Phoenix	1975	9	5
Presley	1975		13
Quincy	1975	25	482
Quinn	1975	16	152
Raven	1975	17	9
Ray	1975	21	894
Reagan	1975	134	38
Reece	1975		23
Reese	1975		40
Regan	1975	220	76
Reilly	1975		5
Remy	1975	9	11
Rene	1975	325	689
Rickie	1975	18	161
Riley	1975	10	107
River	1975		7
Robbie	1975	119	398
Robbin	1975	102	18
Robin	1975	4332	411
Ronnie	1975	88	1630
Rory	1975	21	160
Rowan	1975	6	9
Royce	1975	9	146
Rylan	1975		17
Sage	1975	35	31
Sammie	1975	29	100
Sandy	1975	841	91
Santana	1975	9	30
Sasha	1975	227	20
Semaj	1975		10
Shannon	1975	9371	2533
Shaun	1975	47	703
Shawn	1975	962	10692
Shea	1975	116	111
Shelby	1975	745	196
Shelly	1975	2483	27
Shiloh	1975	49	64
Shirley	1975	875	6
Sidney	1975	41	347
Skye	1975	70	26
Skylar	1975	8	10
Skyler	1975	5	26
Spencer	1975	6	696
Stacey	1975	5930	472
Stacy	1975	7173	784
Sterling	1975	7	183
Stevie	1975	7	156
Sullivan	1975		10
Sydney	1975	93	28
Tate	1975	5	86
Tatum	1975	91	10
Taylor	1975	38	185
Teddy	1975	10	276
Tegan	1975	9	
Terrell	1975	44	492
Terry	1975	491	3974
Toby	1975	158	1191
Tommie	1975	69	193
Tommy	1975	33	1553
Tracey	1975	2376	222
Tracy	1975	8508	1052
Trinity	1975	164	113
Tristan	1975	38	113
Tristen	1975	11	6
Tristin	1975	13	
Unknown	1975	21	18
Van	1975	9	152
Vernon	1975	10	688
Whitney	1975	412	65
Willie	1975	89	2176
Zion	1975		8
Addison	1976		29
Adrian	1976	209	2119
Adriel	1976		24
Aidan	1976		25
Alexis	1976	692	214
Ali	1976	70	199
Allie	1976	28	6
Allison	1976	4030	33
Alva	1976	29	24
Amani	1976	7	
Andrea	1976	8359	183
Angel	1976	1642	1138
Antonia	1976	298	92
Ari	1976	10	101
Arian	1976	9	21
Ariel	1976	63	176
Asa	1976	9	80
Ashley	1976	2291	475
Ashton	1976	7	27
Aspen	1976	24	
Aubrey	1976	263	162
August	1976	33	107
Avery	1976	36	235
Baby	1976	32	37
Bailey	1976		15
Bennie	1976	15	219
Bentley	1976		22
Beverly	1976	932	11
Billie	1976	1000	110
Billy	1976	77	3156
Blair	1976	42	165
Blakely	1976	10	7
Bobbie	1976	1048	93
Bobby	1976	110	2642
Brandy	1976	5233	71
Brennan	1976	10	100
Brook	1976	242	103
Brooke	1976	1465	40
Brooks	1976	13	123
Camden	1976	6	11
Cameron	1976	97	1069
Campbell	1976		11
Carey	1976	693	257
Carmen	1976	1615	94
Carol	1976	1494	16
Carroll	1976	21	85
Carson	1976	11	140
Carter	1976	14	159
Cary	1976	183	325
Casey	1976	811	2128
Cassidy	1976	62	52
Cecil	1976		351
Chandler	1976	7	66
Channing	1976	13	36
Charley	1976	11	57
Charlie	1976	59	565
Cheyenne	1976	124	54
Chris	1976	188	1604
Christen	1976	176	42
Christian	1976	171	2268
Clare	1976	116	5
Cleo	1976	24	27
Clyde	1976	5	386
Cody	1976	58	1098
Colby	1976	41	320
Connie	1976	1314	31
Corey	1976	284	4440
Cortney	1976	322	83
Cory	1976	243	3188
Coty	1976	6	17
Courtney	1976	3620	540
Cristian	1976	11	57
Cruz	1976	27	81
Dakota	1976	11	16
Dale	1976	78	1479
Dallas	1976	54	327
Dana	1976	4411	671
Darby	1976	54	55
Darcy	1976	436	55
Darian	1976	12	149
Darien	1976	8	51
Darnell	1976	26	473
Daryl	1976	15	896
Dean	1976	10	886
Dee	1976	116	32
Demetrius	1976	80	655
Deshawn	1976	28	138
Devan	1976		28
Deven	1976		26
Devin	1976	15	516
Devon	1976	123	306
Diamond	1976	21	16
Dion	1976	27	377
Dominique	1976	283	99
Dominque	1976	26	18
Domonique	1976	28	9
Donnie	1976	25	704
Dorian	1976	69	204
Drew	1976	7	418
Dusty	1976	281	178
Eddie	1976	29	1400
Eden	1976	76	11
Elisha	1976	300	64
Elliot	1976		215
Elliott	1976		229
Ellis	1976		175
Emerson	1976		78
Emery	1976		73
Emory	1976		61
Erin	1976	8385	296
Fay	1976	55	8
Finley	1976		7
Francis	1976	130	839
Frankie	1976	120	414
Freddie	1976	17	503
Gail	1976	475	20
Gale	1976	41	23
Gayle	1976	193	11
Gene	1976	14	462
Genesis	1976	32	8
Gerry	1976	14	105
Gianni	1976		28
Grayson	1976		40
Guadalupe	1976	561	304
Hadley	1976	23	6
Harley	1976		169
Harper	1976	9	9
Haven	1976	12	28
Hayden	1976	11	49
Hilary	1976	437	11
Hunter	1976	11	131
Imani	1976	25	7
Ira	1976	12	264
Ivy	1976	206	21
Jackie	1976	732	560
Jade	1976	141	116
Jaden	1976		7
Jaime	1976	7836	1399
Jaimie	1976	464	30
Jamey	1976	146	429
Jamie	1976	12539	4623
Jamison	1976	10	266
Jan	1976	254	146
Jayce	1976		7
Jayme	1976	480	125
Jean	1976	810	219
Jensen	1976		20
Jerry	1976	68	4068
Jessie	1976	448	822
Jewel	1976	98	15
Jewell	1976	45	17
Jimmie	1976	39	507
Jimmy	1976	31	2498
Joan	1976	461	13
Jodie	1976	840	40
Jody	1976	1567	995
Joey	1976	203	1162
Johnie	1976	6	52
Johnnie	1976	87	527
Jordan	1976	94	518
Jordon	1976		25
Joy	1976	2077	15
Jude	1976	8	134
June	1976	285	
Justice	1976	7	18
Justine	1976	201	34
Kai	1976	42	53
Kameron	1976	21	43
Karson	1976		7
Kasey	1976	305	144
Kay	1976	192	7
Kaya	1976	9	
Kaye	1976	38	
Keegan	1976	13	44
Kelley	1976	1100	118
Kelly	1976	11791	1540
Kelsey	1976	116	101
Kendal	1976	16	41
Kendall	1976	73	280
Kennedy	1976		26
Kenya	1976	714	106
Kerry	1976	1450	583
Kieran	1976		35
Kiley	1976	43	42
Kim	1976	1249	137
Kimberly	1976	18965	61
Kirby	1976	7	119
Kolby	1976		20
Kris	1976	110	299
Kristian	1976	38	257
Kyle	1976	63	3311
Lacy	1976	152	43
Landry	1976		7
Lane	1976	24	154
Lashawn	1976	278	101
Laurel	1976	330	8
Lauren	1976	2223	37
Laverne	1976	89	23
Layne	1976	23	56
Lee	1976	532	1879
Leigh	1976	930	54
Leighton	1976		41
Lennon	1976		12
Lesley	1976	753	57
Leslie	1976	4310	534
Lindsay	1976	2071	50
Lindsey	1976	873	72
Lindy	1976	172	6
Logan	1976	10	113
Lois	1976	188	10
London	1976	21	14
Lonnie	1976	34	833
Loren	1976	97	371
Lou	1976	48	20
Louie	1976	7	148
Lupe	1976	87	41
Lynn	1976	1148	182
Lyric	1976	12	
Mackenzie	1976	164	39
Madison	1976		21
Marion	1976	191	241
Marley	1976	7	
Marlo	1976	167	82
Marty	1976	48	482
Mckenzie	1976	39	19
Mckinley	1976		39
Meredith	1976	1468	25
Merle	1976	5	65
Messiah	1976		6
Micah	1976	98	898
Michele	1976	4441	50
Mickey	1976	38	319
Milan	1976		36
Monroe	1976		45
Montana	1976	15	8
Morgan	1976	143	305
Nakia	1976	490	110
Nikita	1976	173	6
Noel	1976	159	441
Nova	1976	66	5
Oakley	1976		5
Odell	1976		57
Ollie	1976	33	43
Ora	1976	33	16
Paris	1976	48	75
Parker	1976		49
Pat	1976	15	50
Patsy	1976	122	8
Paxton	1976		26
Payton	1976	5	18
Perry	1976	19	460
Peyton	1976	17	30
Phoenix	1976	17	
Presley	1976		14
Quincy	1976	25	588
Quinn	1976	22	141
Raven	1976	100	10
Ray	1976	15	849
Reagan	1976	109	27
Reece	1976		27
Reese	1976		50
Regan	1976	169	49
Remy	1976	15	7
Rene	1976	275	687
Rickie	1976	13	130
Riley	1976	7	106
Robbie	1976	94	312
Robbin	1976	71	14
Robin	1976	3622	394
Ronnie	1976	75	1594
Rory	1976	33	242
Rowan	1976		12
Royce	1976	8	172
Rylan	1976		14
Sage	1976	38	44
Sammie	1976	40	83
Sandy	1976	785	91
Santana	1976	17	37
Sasha	1976	249	41
Semaj	1976		14
Shannon	1976	13372	2613
Shaun	1976	43	625
Shawn	1976	773	10108
Shea	1976	112	102
Shelby	1976	575	176
Shelly	1976	1861	25
Shiloh	1976	85	52
Shirley	1976	834	12
Sidney	1976	23	344
Skye	1976	80	26
Skylar	1976	10	11
Skyler	1976		23
Spencer	1976	6	770
Stacey	1976	5391	336
Stacy	1976	6522	573
Sterling	1976	7	189
Stevie	1976	7	147
Sullivan	1976		8
Sydney	1976	123	27
Tate	1976	6	85
Tatum	1976	79	10
Taylor	1976	68	241
Teddy	1976		289
Tegan	1976	22	
Terrell	1976	34	501
Terry	1976	386	3667
Toby	1976	116	1097
Tommie	1976	81	182
Tommy	1976	21	1391
Tracey	1976	1941	152
Tracy	1976	6824	785
Trinity	1976	130	110
Tristan	1976	37	110
Tristen	1976	15	
Tristin	1976	10	
Unknown	1976	17	13
Van	1976	19	146
Vernon	1976	10	648
Whitney	1976	532	66
Willie	1976	83	2133
Zion	1976		7
Addison	1977		16
Adrian	1977	274	2260
Adriel	1977	9	21
Aidan	1977		17
Aiden	1977		5
Alexis	1977	726	239
Ali	1977	64	196
Allie	1977	49	6
Allison	1977	4207	26
Alva	1977	27	27
Amani	1977	5	
Andrea	1977	9785	159
Angel	1977	2136	1244
Antonia	1977	264	89
Ari	1977	12	123
Arian	1977	10	32
Ariel	1977	104	156
Asa	1977	8	79
Ashley	1977	2704	582
Ashton	1977		37
Aspen	1977	24	
Aubrey	1977	334	175
August	1977	41	107
Avery	1977	43	204
Baby	1977	29	18
Bailey	1977		18
Bennie	1977	14	238
Bentley	1977		16
Beverly	1977	862	8
Billie	1977	844	103
Billy	1977	68	2947
Blair	1977	41	193
Blakely	1977	7	15
Bobbie	1977	985	91
Bobby	1977	110	2541
Brandy	1977	5476	65
Brennan	1977	8	108
Brook	1977	258	92
Brooke	1977	1870	40
Brooks	1977	16	138
Cadence	1977	7	
Camden	1977	6	8
Cameron	1977	103	1011
Campbell	1977		8
Carey	1977	601	253
Carmen	1977	1630	95
Carol	1977	1345	17
Carroll	1977	21	88
Carson	1977	15	135
Carter	1977	11	122
Cary	1977	165	270
Casey	1977	950	2597
Cassidy	1977	72	53
Cecil	1977	11	369
Chandler	1977	7	48
Channing	1977	15	32
Charley	1977	14	75
Charlie	1977	81	609
Cheyenne	1977	109	67
Chris	1977	162	1493
Christen	1977	184	34
Christian	1977	159	2299
Clare	1977	115	8
Cleo	1977	32	37
Clyde	1977	7	368
Cody	1977	64	1267
Colby	1977	41	299
Connie	1977	1210	14
Corey	1977	348	6043
Cortney	1977	306	145
Cory	1977	272	4258
Coty	1977	13	29
Courtney	1977	3808	797
Cristian	1977	7	75
Cruz	1977	19	84
Dakota	1977	14	22
Dale	1977	49	1360
Dallas	1977	53	336
Dana	1977	4337	638
Darby	1977	50	45
Darcy	1977	425	46
Darian	1977	12	177
